"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-02-24",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-02-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-02-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-02-27",,,,,,,,,"0.02",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-02-28",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-09",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-11",,,,,,,,,"0.10",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-16",,,,,,,,,"0.30",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-17",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-18",,,,,,,,,"0.40",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-19",,,,,,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-20",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-22",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-24",,,,,,,,,"0.22",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-25",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-26",,,,,,,,,"0.22",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-28",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-29",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-03-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-08",,,,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-09",,,,,,,,,"0.47",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-10",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-11",,,,,,,,,"0.52",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-12",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-16",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-17",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-19",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-20",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-22",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-24",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-26",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-28",,,,,,,,,"0.01",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-29",,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-04-30",,,,,,,,,"0.05",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-03",,,,,,,,,"0.06",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-04",,,,,,,,,"0.07",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-05",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-06",,,,,,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-07",,,,,,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-08",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-09",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-10",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-11",,,,,,,,,"0.00","T,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-12",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-13",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-14",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-15",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-16",,,,,,,,,"0.03",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-17",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-18",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-19",,,,,,,,,"0.09",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-20",,,,,,,,,"0.13",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-21",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-22",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-23",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-24",,,,,,,,,"0.10",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-25",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-26",,,,,,,,,"1.19",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-27",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-28",,,,,,,,,"0.28",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-29",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-30",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-05-31",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-01",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-02",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-03",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-04",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-05",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-06",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILCK0321","EVANSTON 0.9 S, IL US","42.03303","-87.69777","182.9","2021-06-07",,,,,,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-01",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-02",,,,,,,,,"0.30",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-03",,,,,,,,,"0.04",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-05",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-06",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-07",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-08",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-09",,,,,,,,,"0.02",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-10",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-11",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-12",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-13",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-14",,,,,,,,,"0.00",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-15",,,,,,,,,"0.13",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-16",,,,,,,,,"0.05",",,N","0.5",",,N","0.5",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1ILDP0038","ELMHURST 0.4 SW, IL US","41.893458","-87.948464","216.1","2021-01-17",,,,,,,,,"0.04",",,N","0.2",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
